ticker,name,sic,status,coverage,overall,direction,n_red_flags,top_block,top_block_score,red_flag_metrics
CMCSA,Comcast Corporation,4841,ok,0.769,31.4,positive,2,Balance Sheet Stress,63.2,net_debt_to_ebitda;incremental_revenue_per_capex
CEG,CONSTELLATION ENERGY CORPORATION,4911,ok,0.75,47.9,negative,5,Cash Conversion,85.1,fcf_to_net_income;net_debt_to_ebitda;cfo_to_net_income;fcf_margin;fcf_margin_trend
ADBE,ADOBE INC.,7372,ok,0.917,29.8,positive,2,Balance Sheet Stress,40.7,fcf_margin_trend;current_ratio
MMM,3M COMPANY,3841,ok,0.921,34.8,mixed,2,Cash Conversion,43.9,net_debt_to_ebitda;incremental_revenue_per_capex
CME,CME GROUP INC.,6200,excluded_financial,0.648,,,,,,
NTES,"NETEASE, INC.",7372,ok,0.366,,mixed,0,Balance Sheet Stress,17.5,
MRSH,"Marsh & McLennan Companies, Inc.",6411,excluded_financial,0.843,,,,,,
DASH,"DOORDASH, INC.",7389,ok,0.769,28.0,positive,0,Balance Sheet Stress,45.3,
RCL,ROYAL CARIBBEAN CRUISES LTD,4400,ok,0.926,35.0,mixed,5,Revenue Quality,59.4,net_debt_to_ebitda;receivables_growth_spread;current_ratio;incremental_revenue_per_capex;beneish_dsri
MCO,Moody’s Corporation,7320,ok,0.88,28.8,positive,3,Balance Sheet Stress,64.8,net_debt_to_ebitda;asset_quality_proxy;intangibles_to_assets
BE,BLOOM ENERGY CORPORATION,3620,ok,0.806,32.8,mixed,0,Working Capital Stress,42.5,
CNQ,,,error: Could not establish at least 2 quarter-end dates for CNQ; the filer may use cust,,,,,,,
MGCLY,,,error: SEC request failed for https://data.sec.gov/api/xbrl/companyfacts/CIK0002039784.,,,,,,,
ACN,Accenture plc,7389,ok,0.926,22.9,positive,0,Capex Discipline,30.6,
VLO,VALERO ENERGY CORP/TX,2911,ok,0.787,31.5,positive,1,Revenue Quality,63.3,receivables_growth_spread
NGG,,,error: Could not establish at least 2 quarter-end dates for NGG; the filer may use cust,,,,,,,
EPD,ENTERPRISE PRODUCTS PARTNERS L.P.,4922,ok,0.815,38.5,mixed,2,Working Capital Stress,64.4,net_debt_to_ebitda;inventory_growth_spread
ECL,ECOLAB INC.,2840,ok,0.921,40.4,mixed,3,Cash Conversion,57.3,net_debt_to_ebitda;fcf_margin_trend;fcf_to_net_income
